sapl_id,tipo,numero,ano,conjunto_analise,ancora_adi,A1_dias_pl_lei,A2_urgencia,A3_parecer_plenario,A4_votacao_sem_nominal,A5_unanime,A6_sem_votacao_registrada,A7_dezembro,B1_n_alvos_em_escopo,B2_verbo_supressivo,B3_reincidencia_autor,B4_alvo_mais_emendado,B5_n_alvos,C1_retorica_verde,C2_eufemismo,C3_delegacao_executivo,C4_n_revogacoes,evidencias
7568,Lei Complementar,891,2016,True,False,6,False,False,False,True,False,False,0,False,38,1,2,True,False,False,0,"{""A1"": ""apresentada 2016-06-28 → norma 2016-07-04"", ""A4"": ""2016-06-28: 18S/0N/0A; 2016-06-28: 17S/0N/0A"", ""A5"": ""2016-06-28: 18S/0N/0A; 2016-06-28: 17S/0N/0A"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas"", ""C1"": ""ementa casa «AMBIENTAL»""}"
7580,Lei Complementar,892,2016,True,False,6,False,False,False,False,False,False,1,False,38,1,1,False,False,False,0,"{""A1"": ""apresentada 2016-06-28 → norma 2016-07-04"", ""A4"": ""2016-06-28: 21S/1N/0A; 2016-06-28: 15S/0N/0A"", ""A5"": ""2016-06-28: 21S/1N/0A; 2016-06-28: 15S/0N/0A"", ""B1"": ""Altera Lei Complementar 233/2000 [registrado]"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
7659,Resolução,353,2016,True,False,182,False,False,True,True,False,False,0,False,5,0,0,False,False,False,0,"{""A1"": ""apresentada 2016-03-08 → norma 2016-09-06"", ""A4"": ""2016-09-06: 13S/0N/0A"", ""A5"": ""2016-09-06: 13S/0N/0A"", ""B3"": ""MAURÃO DE CARVALHO assina outras 5 do conjunto""}"
7686,Lei ordinária,3918,2016,True,False,192,False,False,True,True,False,False,0,False,2,0,0,False,False,False,0,"{""A1"": ""apresentada 2016-04-05 → norma 2016-10-14"", ""A4"": ""2016-09-20: 15S/0N/0A; 2016-09-20: 14S/0N/0A"", ""A5"": ""2016-09-20: 15S/0N/0A; 2016-09-20: 14S/0N/0A"", ""B3"": ""JEAN OLIVEIRA assina outras 2 do conjunto""}"
7693,Lei ordinária,3925,2016,True,False,13,False,False,True,True,False,False,0,False,38,0,0,False,False,False,0,"{""A1"": ""apresentada 2016-10-04 → norma 2016-10-17"", ""A4"": ""2016-10-11: 18S/0N/0A; 2016-10-11: 17S/0N/0A"", ""A5"": ""2016-10-11: 18S/0N/0A; 2016-10-11: 17S/0N/0A"", ""B3"": ""Poder Executivo assina outras 38 do conjunto""}"
7718,Lei Complementar,904,2016,True,False,198,False,False,False,True,False,False,0,False,5,0,0,False,False,False,0,"{""A1"": ""apresentada 2016-04-19 → norma 2016-11-03"", ""A4"": ""2016-10-04: 14S/0N/0A; 2016-10-04: 14S/0N/0A"", ""A5"": ""2016-10-04: 14S/0N/0A; 2016-10-04: 14S/0N/0A"", ""B3"": ""MAURÃO DE CARVALHO assina outras 5 do conjunto""}"
7741,Lei ordinária,3935,2016,True,False,243,False,False,True,True,False,False,0,False,1,0,0,True,False,False,0,"{""A1"": ""apresentada 2016-03-30 → norma 2016-11-28"", ""A4"": ""2016-09-20: 15S/0N/0A; 2016-09-20: 14S/0N/0A"", ""A5"": ""2016-09-20: 15S/0N/0A; 2016-09-20: 14S/0N/0A"", ""B3"": ""CLEITON ROQUE assina outras 1 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
7755,Lei ordinária,3945,2016,True,False,6,False,False,True,True,False,True,0,False,38,0,0,True,False,False,0,"{""A1"": ""apresentada 2016-12-06 → norma 2016-12-12"", ""A4"": ""2016-12-06: 24S/0N/0A; 2016-12-06: 24S/0N/0A"", ""A5"": ""2016-12-06: 24S/0N/0A; 2016-12-06: 24S/0N/0A"", ""A7"": ""promulgada em 2016-12-12"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «AMBIENTAL»""}"
7758,Lei ordinária,3943,2016,True,False,6,False,False,True,True,False,True,0,False,38,0,0,True,False,False,0,"{""A1"": ""apresentada 2016-12-06 → norma 2016-12-12"", ""A4"": ""2016-12-06: 24S/0N/0A; 2016-12-06: 24S/0N/0A"", ""A5"": ""2016-12-06: 24S/0N/0A; 2016-12-06: 24S/0N/0A"", ""A7"": ""promulgada em 2016-12-12"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «PROTEÇ»""}"
7759,Lei ordinária,3941,2016,True,True,6,False,False,True,True,False,True,1,False,38,6,1,True,False,False,0,"{""A1"": ""apresentada 2016-12-06 → norma 2016-12-12"", ""A4"": ""2016-12-06: 24S/0N/0A; 2016-12-06: 24S/0N/0A"", ""A5"": ""2016-12-06: 24S/0N/0A; 2016-12-06: 24S/0N/0A"", ""A7"": ""promulgada em 2016-12-12"", ""B1"": ""Altera Lei ordinária 3686/2015 [registrado]"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""B4"": ""alvo mais emendado tem 6 alterações registradas"", ""C1"": ""ementa casa «AMBIENTAL»""}"
7761,Lei Complementar,918,2016,False,True,69,False,False,False,True,False,True,1,False,1,1,1,False,False,False,0,"{""A1"": ""apresentada 2016-10-11 → norma 2016-12-19"", ""A4"": ""2016-10-11: 14S/0N/0A; 2016-10-11: 17S/0N/0A"", ""A5"": ""2016-10-11: 14S/0N/0A; 2016-10-11: 17S/0N/0A"", ""A7"": ""promulgada em 2016-12-19"", ""B1"": ""Altera Lei Complementar 633/2011 [registrado]"", ""B3"": ""HERMINIO COELHO assina outras 1 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
7914,Lei ordinária,4044,2017,True,False,68,False,False,True,True,False,False,1,False,5,1,1,False,False,False,0,"{""A1"": ""apresentada 2017-02-15 → norma 2017-04-24"", ""A4"": ""2017-02-15: 19S/0N/0A; 2017-02-15: 16S/0N/0A"", ""A5"": ""2017-02-15: 19S/0N/0A; 2017-02-15: 16S/0N/0A"", ""B1"": ""Altera Lei ordinária 3925/2016 [registrado]"", ""B3"": ""MAURÃO DE CARVALHO assina outras 5 do conjunto"", ""B4"": ""alvo mais emendado tem 1 alterações registradas""}"
8053,Lei ordinária,4131,2017,True,False,111,False,False,False,False,True,False,1,False,5,6,1,True,False,False,0,"{""A1"": ""apresentada 2017-05-26 → norma 2017-09-14"", ""B1"": ""Altera Lei ordinária 3686/2015 [registrado]"", ""B3"": ""MAURÃO DE CARVALHO assina outras 5 do conjunto"", ""B4"": ""alvo mais emendado tem 6 alterações registradas"", ""C1"": ""ementa casa «AMBIENTAL»""}"
8092,Emenda Constitucional,125,2017,False,False,134,False,False,False,True,False,False,0,False,38,0,0,True,False,False,0,"{""A1"": ""apresentada 2017-05-30 → norma 2017-10-11"", ""A4"": ""2017-10-10: 16S/0N/0A; 2017-10-10: 16S/0N/0A"", ""A5"": ""2017-10-10: 16S/0N/0A; 2017-10-10: 16S/0N/0A"", ""B3"": ""Poder Executivo assina outras 38 do conjunto"", ""C1"": ""ementa casa «SUSTENT»""}"
