sapl_id,tipo,numero,ano,data,dist,escopo,janela,ementa,na_selecao,materia_sapl_id,materia_resumo,situacao,n_altera,n_alterada_por,n_revoga,n_revogada_por,n_suspende,n_regulamenta
5479,Lei Complementar,633,2011,2011-09-13,1,ESCOPO,analise,"DISPÕE SOBRE A EXCLUSÃO DE ÁREAS DA ESTAÇÃO ECOLÓGICA ESTADUAL SERRA TRÊS IRMÃOS, DA ÁREA DE PROTEÇÃO AMBIENTAL RIO MADEIRA, DA FLORESTA ESTADUAL DE RENDIMENTO ",False,2869,PL 28/2011,vigente (presumida),0,1,0,0,0,0
5391,Lei Complementar,626,2011,2011-07-26,1,SEM_SINAL,analise,CRIA O FUNDO ESPECIAL APAFES - RIO PARDO.,False,2499,PL 18/2011,revogada integral,0,0,0,1,0,0
5384,Lei ordinária,2528,2011,2011-07-25,1,SEM_SINAL,analise,"CRIA A FUNDAÇÃO RONDÔNIA DE AMPARO AO DESENVOLVIMENTO DAS AÇÕES CIENTÍFICAS E TECNOLÓGICAS E A PESQUISA DO ESTADO DE RONDÔNIA, NOS TERMOS DO ARTIGO 201 DA CONST",False,2578,PL 152/2011,vigente (presumida),0,1,0,0,0,0
5381,Lei Complementar,622,2011,2011-07-11,1,FORA,analise,"ESTABELECE NORMAS PARA CONSIGNAÇÕES EM FOLHA DE PAGAMENTO DOS SERVIDORES PÚBLICOS ATIVOS, INATIVOS, PENSIONISTAS E EMPREGADOS PÚBLICOS DA ADMINISTRAÇÃO DIRETA, ",False,2503,PL 20/2011,revogada parcial,0,1,0,1,0,0
5043,Lei Complementar,589,2010,2010-07-19,1,ESCOPO,analise,"REVOGA O DECRETO Nº 4.566, DE 23 DE MARÇO DE 1990, QUE DISPÕE SOBRE A CRIAÇÃO NOS MUNICÍPIOS DE COSTA MARQUES E SÃO MIGUEL DO GUAPORÉ, DA FLORESTA ESTADUAL DE R",False,1497,PL 242/2010,vigente (presumida),0,0,0,0,0,0
5041,Lei Complementar,588,2010,2010-07-19,1,ESCOPO,analise,"REVOGA O DECRETO Nº 4.570, DE 23 DE MARÇO DE 1990, QUE DISPÕE SOBRE A CRIAÇÃO, NO MUNICÍPIO DE ALTA FLORESTA D’OESTE, O PARQUE ESTADUAL SERRA DOS PARECIS, NOS T",False,1496,PL 241/2010,vigente (presumida),0,0,0,0,0,0
5040,Lei Complementar,587,2010,2010-07-19,1,ESCOPO,analise,"REVOGA O DECRETO Nº 4.572, DE 23 DE MARÇO DE 1990, QUE DISPÕE SOBRE A CRIAÇÃO, NO MUNICÍPIO DE PORTO VELHO, O PARQUE ESTADUAL DE CANDEIAS, NOS TERMOS DA LEI COM",False,1495,PL 240/2010,vigente (presumida),0,0,0,0,0,0
5039,Lei Complementar,586,2010,2010-07-19,1,ESCOPO,analise,"REVOGA O DECRETO Nº 4.573 DE 23 DE MARÇO DE 1990, QUE DISPÕE SOBRE A CRIAÇÃO, NOS MUNICÍPIOS DE CEREJEIRAS, COLORADO DO OESTE E ALTA FLORESTA D’OESTE, A FLOREST",False,1494,PL 239/2010,vigente (presumida),0,0,0,0,0,0
4767,Lei Complementar,525,2009,2009-10-06,1,ESCOPO,contexto,"REVOGA O DECRETO Nº 4.577, DE 23 DE MARÇO DE 1990, QUE DISPÕE SOBRE A CRIAÇÃO NO MUNICÍPIO DE PORTO VELHO, DA FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO ",False,943,PL 174/2009,vigente (presumida),0,0,0,0,0,0
4356,Lei ordinária,2027,2009,2009-01-19,1,ESCOPO,contexto,"REGULAMENTA O REGIME DE COMPENSAÇÃO DA RESERVA FLORESTAL NO ÂMBITO DO ESTADO DE RONDÔNIA, NOS TERMOS DO QUE PERMITE O CÓDIGO FLORESTAL - LEI FEDERAL Nº 4.771, D",False,731,PL 6/2007,suspensa,0,0,0,0,0,0
