origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,5108,Lei ordinária,2363,2010,2010-11-29,,,originada de (PL),materia,1542,Matéria (PL),875,2010,,norma→matéria,False,,PROVAVEL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5108/5108_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1542/1542_texto_integral.pdf,True,False,,False
registrado,5167,Lei Complementar,600,2011,2011-01-10,,,originada de (PL),materia,1678,Matéria (PL),267,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5167/5167_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1678/1678_texto_integral.pdf,True,False,,False
registrado,5229,Lei ordinária,2425,2011,2011-03-03,,,originada de (PL),materia,699,Matéria (PL),501,2009,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5229/5229_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2009/699/699_texto_integral.pdf,True,False,,False
registrado,5399,Lei ordinária,2508,2011,2011-07-06,1,,Altera,norma,5108,Lei ordinária,2363,2010,2010-11-29,fonte→alvo,True,False,ESCOPO,analise,PROVAVEL,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5399/5399_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5108/5108_texto_integral.pdf,True,True,,False
registrado,5399,Lei ordinária,2508,2011,2011-07-06,,,originada de (PL),materia,1777,Matéria (PL),37,2011,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5399/5399_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/1777/1777_texto_integral.pdf,True,False,,False
registrado,5387,Lei ordinária,2531,2011,2011-07-25,,,originada de (PL),materia,1287,Matéria (PL),764,2010,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5387/5387_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2010/1287/1287_texto_integral.pdf,True,False,,False
registrado,5424,Lei ordinária,2541,2011,2011-08-16,1,,Altera,norma,1413,Lei ordinária,890,2000,2000-04-24,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5424/5424_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/1413/1413_texto_integral.pdf,True,True,,False
registrado,5424,Lei ordinária,2541,2011,2011-08-16,,,originada de (PL),materia,2513,Matéria (PL),144,2011,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5424/5424_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2011/2513/2513_texto_integral.pdf,True,False,,False
registrado,5479,Lei Complementar,633,2011,2011-09-13,2,,Revoga integralmente,norma,1215,Lei ordinária,692,1996,1996-12-27,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5479/5479_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/1996/1215/1215_texto_integral.pdf,True,True,,False
registrado,5479,Lei Complementar,633,2011,2011-09-13,3,,Revoga parcialmente,norma,5019,Lei Complementar,581,2010,2010-06-30,fonte→alvo,True,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5479/5479_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2010/5019/5019_texto_integral.pdf,True,True,,False
